Number	Length	Length_Real	Stemming	Stemming_Real	Angle	Angle_Real	Azimuth	Azimuth_Real	Subdrilling	Subdrilling_Real	Total_Charge	Total_Charge_Real	Charge_Bulk	Charge_Bulk_Real	Charge_Cartridge	Charge_Cartridge_Real	Charge_Description	eliminated	waterPresence	waterColumn	waterColumn_Real	changed	userName	userLogin	userId	dateUpdate	problemList	redrilled	StemmingProblem	ChargeProblem	Label1	Label2	Burden	Spacing	json	Diameter	Diameter_Real	UTM_X	UTM_X_Real	UTM_Y	UTM_Y_Real	Booster	Booster_Real	PowderFactor	PowderFactor_Real	Comment	FinalLength	TruckNumber	NumberOfDetonators	NumberOfPrimes	Temperature	Density	final_length	truck_number	number_detonators	number_primes	temperature	density
1	11.582	11.3	2.3	2.3	0	0	0	0	0.6	0.6	164.318	164.318	164.318	164.318	0	0	[{"name":"Emuls\u00e3o 1.15","qty":164.318,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:32:17		0	0	0			0	0		0.14	0.14	748576.979	748576.979	8930252.437	8930252.437	1	0	0	0		0	0	0	0	0	0						0
2	11.827	11.3	2.3	2.3	0	0	0	0	0.6	0.6	168.655	168.655	168.655	168.655	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.655,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:32:25		0	0	0			0	0		0.14	0.14	748576.979	748576.979	8930259.202	8930259.202	1	0	0	0		0	0	0	0	0	0						0
3	11.962	11.5	2.3	2.3	0	0	0	0	0.6	0.6	171.045	171.045	171.045	171.045	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.045,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:36:13		0	0	0			0	0		0.14	0.14	748576.97	748576.97	8930265.933	8930265.933	1	0	0	0		0	0	0	0	0	0						0
4	11.853	11.8	2.3	2.3	0	0	0	0	0.6	0.6	169.116	169.116	169.116	169.116	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.116,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:44:49		0	0	0			0	0		0.14	0.14	748576.973	748576.973	8930272.656	8930272.656	1	0	0	0		0	0	0	0	0	0						0
5	11.897	0	2.3	0	0	0	0	0	0.6	0	169.894	0	169.894	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748576.978	0	8930279.384	0	1	0	0	0		0	0	0	0	0	0						0
18	11.725	12	2.3	2.3	0	0	0	0	0.6	0.6	166.85	166.85	166.85	166.85	0	0	[{"name":"Emuls\u00e3o 1.15","qty":166.85,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:45:06		0	0	0			0	0		0.14	0.14	748574.747	748574.747	8930276.04	8930276.04	1	0	0	0		0	0	0	0	0	0						0
19	11.974	11.7	2.3	2.3	0	0	0	0	0.6	0.6	171.258	171.258	171.258	171.258	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.258,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:36:50		0	0	0			0	0		0.14	0.14	748574.738	748574.738	8930269.283	8930269.283	1	0	0	0		0	0	0	0	0	0						0
20	11.906	11.7	2.3	2.3	0	0	0	0	0.6	0.6	170.054	170.054	170.054	170.054	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.054,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:36:00		0	0	0			0	0		0.14	0.14	748574.727	748574.727	8930262.564	8930262.564	1	0	0	0		0	0	0	0	0	0						0
21	11.682	10.5	2.3	2.3	0	0	0	0	0.6	0.6	166.088	166.088	166.088	166.088	0	0	[{"name":"Emuls\u00e3o 1.15","qty":166.088,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:32:42		0	0	0			0	0		0.14	0.14	748574.731	748574.731	8930255.795	8930255.795	1	0	0	0		0	0	0	0	0	0						0
22	11.496	0	2.3	0	0	0	0	0	0.6	0	162.796	0	162.796	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748574.724	0	8930250.715	0	1	0	0	0		0	0	0	0	0	0						0
